iter	Logloss
0	0.6790801368
1	0.6660502236
2	0.6529007493
3	0.6406853426
4	0.6288206748
5	0.6183457308
6	0.6077208826
7	0.5980765042
8	0.5892210347
9	0.5813022797
10	0.5729328139
11	0.564830906
12	0.5574417191
13	0.5498463158
14	0.5427798755
15	0.536123176
16	0.5295456579
17	0.5236865268
18	0.5185984668
19	0.5142160199
20	0.5090684245
21	0.5046776345
22	0.5010257406
23	0.4968110483
24	0.4924795026
25	0.4878062778
26	0.4839302357
27	0.4805055132
28	0.477821487
29	0.4743973114
30	0.4713353323
31	0.4689588685
32	0.4664059266
33	0.463456541
34	0.4612672191
35	0.4586690479
36	0.4564787685
37	0.4543236445
38	0.4517807266
39	0.4494845346
40	0.4476768512
41	0.4459337291
42	0.444134704
43	0.4422816153
44	0.4404224847
45	0.4390152438
46	0.4374878304
47	0.4362386456
48	0.4349493714
49	0.43357151
50	0.4324105918
51	0.4309487887
52	0.4298297351
53	0.4284059949
54	0.4271961812
55	0.4260820304
56	0.4248157348
57	0.4236549445
58	0.4225402561
59	0.4213617245
60	0.4204761048
61	0.419723642
62	0.4187855409
63	0.4180064698
64	0.4170069322
65	0.416332369
66	0.4156284245
67	0.4149258406
68	0.4142389034
69	0.413486791
70	0.4127537843
71	0.4120619752
72	0.4114741046
73	0.4106885838
74	0.409917457
75	0.4093851432
76	0.4087094086
77	0.4080660806
78	0.4074907595
79	0.4069222399
80	0.4063748224
81	0.4058164484
82	0.4052227312
83	0.4046608795
84	0.4042350928
85	0.4037317726
86	0.4032115279
87	0.4027800676
88	0.4022476776
89	0.4017948763
90	0.4012091182
91	0.4007758013
92	0.4003251054
93	0.4000289214
94	0.3995156861
95	0.3989995144
96	0.3985623825
97	0.3981272906
98	0.3977398003
99	0.3974325307
100	0.3969810084
101	0.3965478025
102	0.3961986093
103	0.3958424965
104	0.3955309744
105	0.3950349337
106	0.3947474116
107	0.3944713479
108	0.39406806
109	0.393714177
110	0.3934024497
111	0.3930119929
112	0.3927289241
113	0.3924134567
114	0.3921480582
115	0.3918874
116	0.3914913552
117	0.391217498
118	0.3909039747
119	0.390723628
120	0.3903560251
121	0.3901090292
122	0.3897678167
