iter	Passed	Remaining
0	498	497860
1	895	446950
2	1509	501672
3	1921	478362
4	2362	470062
5	3060	507055
6	3359	476617
7	3465	429717
8	3751	413050
9	3962	392294
10	4496	404294
11	5001	411825
12	5413	411037
13	6009	423259
14	6441	422991
15	6945	427135
16	7148	413375
17	7368	402000
18	7556	390157
19	7761	380309
20	7874	367089
21	7976	354584
22	7985	339195
23	7994	325120
24	8003	312153
25	8012	300171
26	8022	289112
27	8032	278833
28	8041	269245
29	8050	260303
30	8058	251904
31	8067	244047
32	8076	236675
33	8088	229794
34	8098	223281
35	8107	217095
36	8119	211320
37	8129	205795
38	8138	200544
39	8148	195572
40	8157	190810
41	8168	186317
42	8179	182050
43	8189	177930
44	8198	173996
45	8207	170220
46	8217	166623
47	8227	163172
48	8236	159858
49	8244	156643
50	8252	153570
51	8260	150603
52	8269	147753
53	8277	145001
54	8285	142357
55	8293	139806
56	8301	137335
57	8309	134953
58	8316	132635
59	8322	130390
60	8330	128232
61	8336	126128
62	8343	124098
63	8350	122124
64	8357	120216
65	8363	118360
66	8371	116573
67	8378	114838
68	8386	113153
69	8393	111513
70	8400	109915
71	8407	108361
72	8414	106850
73	8421	105385
74	8428	103954
75	8435	102560
76	8443	101208
77	8450	99888
78	8457	98598
79	8464	97342
80	8471	96116
81	8478	94919
82	8485	93750
83	8492	92609
84	8499	91495
85	8506	90408
86	8513	89346
87	8520	88306
88	8527	87290
89	8534	86297
90	8542	85328
91	8548	84374
92	8556	83445
93	8563	82532
94	8569	81636
95	8575	80757
96	8582	79896
97	8589	79053
98	8595	78228
99	8602	77420
100	8608	76627
101	8615	75847
102	8621	75083
103	8627	74332
104	8634	73599
105	8641	72878
106	8648	72175
107	8654	71480
108	8660	70797
109	8667	70129
110	8674	69471
111	8680	68826
112	8687	68190
113	8693	67567
114	8700	66955
115	8706	66352
116	8713	65760
117	8719	65176
118	8726	64605
119	8734	64051
120	8741	63503
121	8749	62964
122	8756	62434
123	8767	61938
124	8778	61452
125	8786	60944
126	8793	60449
127	8801	59957
128	8808	59476
129	8816	59005
130	8826	58550
131	8837	58111
132	8847	57671
133	8855	57229
134	8863	56791
135	8870	56354
136	8878	55925
137	8886	55508
138	8893	55089
139	8900	54675
140	8907	54267
141	8915	53869
142	8922	53472
143	8930	53085
144	8937	52698
145	8949	52350
146	8956	51974
147	8965	51612
148	8972	51243
149	8983	50904
150	8997	50591
151	9007	50250
152	9017	49922
153	9030	49608
154	9039	49278
155	9047	48947
156	9058	48639
157	9065	48312
158	9075	48003
159	9085	47699
160	9094	47393
161	9107	47113
162	9120	46832
163	9128	46534
164	9138	46245
165	9148	45963
166	9157	45678
167	9166	45395
168	9176	45123
169	9183	44837
170	9193	44571
171	9201	44295
172	9210	44027
173	9217	43757
174	9226	43497
175	9236	43245
176	9245	42986
177	9255	42739
178	9263	42489
179	9272	42243
180	9281	41998
181	9290	41758
182	9300	41520
183	9308	41283
184	9318	41049
185	9326	40817
186	9334	40584
187	9343	40357
188	9352	40133
189	9361	39910
190	9370	39688
191	9378	39469
192	9387	39252
193	9396	39040
194	9406	38831
195	9415	38623
196	9424	38416
197	9433	38210
198	9441	38005
199	9451	37805
200	9461	37610
201	9473	37423
202	9483	37232
203	9492	37039
204	9503	36856
205	9513	36670
206	9523	36483
207	9534	36306
208	9543	36118
209	9553	35939
210	9563	35762
211	9571	35578
212	9582	35404
213	9590	35224
214	9599	35049
215	9608	34875
216	9617	34703
217	9629	34543
218	9639	34374
219	9648	34209
220	9684	34137
221	9694	33975
222	9704	33813
223	9714	33655
224	9724	33494
225	9733	33333
226	9746	33190
227	9755	33031
228	9763	32873
229	9771	32712
230	9778	32552
231	9785	32394
232	9793	32237
233	9800	32080
234	9807	31926
235	9814	31772
236	9822	31621
237	9829	31470
238	9833	31311
239	9840	31162
240	9848	31015
241	9855	30871
242	9863	30726
243	9870	30582
244	9877	30440
245	9885	30298
246	9891	30156
247	9899	30017
248	9906	29880
249	9914	29743
250	9922	29608
251	9929	29473
252	9937	29339
253	9944	29206
254	9951	29074
255	9959	28943
256	9967	28815
257	9974	28686
258	9982	28559
259	9989	28432
260	9997	28306
261	10004	28181
262	10012	28058
263	10020	27935
264	10028	27814
265	10035	27692
266	10043	27571
267	10050	27451
268	10056	27328
269	10063	27209
270	10071	27092
271	10078	26975
272	10086	26860
273	10093	26745
274	10101	26630
275	10108	26516
276	10115	26403
277	10123	26291
278	10130	26179
279	10137	26068
280	10145	25959
281	10152	25850
282	10159	25740
283	10166	25632
284	10173	25524
285	10181	25417
286	10188	25310
287	10195	25205
288	10202	25100
289	10209	24996
290	10217	24893
291	10224	24791
292	10232	24690
293	10239	24588
294	10246	24487
295	10253	24387
296	10261	24288
297	10268	24189
298	10275	24090
299	10282	23992
300	10290	23896
301	10297	23800
302	10304	23703
303	10311	23607
304	10318	23512
305	10337	23444
306	10343	23349
307	10350	23255
308	10357	23161
309	10364	23069
310	10371	22976
311	10378	22885
312	10385	22794
313	10392	22704
314	10400	22617
315	10407	22528
316	10415	22440
317	10422	22351
318	10429	22264
319	10435	22175
320	10442	22089
321	10449	22002
322	10456	21916
323	10463	21831
324	10470	21747
325	10478	21663
326	10485	21579
327	10491	21495
328	10498	21411
329	10504	21328
330	10512	21246
331	10519	21165
332	10526	21083
333	10532	21002
334	10539	20922
335	10546	20841
336	10553	20761
337	10559	20682
338	10566	20602
339	10573	20525
340	10580	20446
341	10586	20368
342	10593	20291
343	10599	20213
344	10606	20136
345	10613	20060
346	10619	19984
347	10625	19908
348	10632	19832
